Year,Week No.,Daily Rainfall Total (mm),Mean Temperature (C),Dengue (Count)
2012,1,1.839989996,27.06521734,74
2012,2,3.488352341,26.47277102,66
2012,3,15.04895458,27.20094139,61
2012,4,1.376448579,26.80994426,52
2012,5,8.25739896,26.55809524,85
2012,6,0.7145608243,27.54539337,87
2012,7,5.869741897,26.7989881,65
2012,8,4.465807323,27.62988095,51
2012,9,5.721743697,27.20859307,55
2012,10,9.901637655,27.09261905,46
2012,11,11.2647469,26.69285714,64
2012,12,6.54056036,27.69875145,73
2012,13,15.31907371,27.3342619,48
2012,14,12.32877451,27.15071429,52
2012,15,14.26295318,27.335,82
2012,16,7.766288515,27.73619048,77
2012,17,2.958032213,28.46714286,64
2012,18,13.31517057,27.81809524,88
2012,19,7.02727591,27.89950549,97
2012,20,8.124568828,28.74261905,80
2012,21,8.927152861,28.285,80
2012,22,4.126863745,28.31071429,81
2012,23,7.671570628,28.64619048,100
2012,24,0.0004081632653,29.43238095,88
2012,25,1.800622249,28.94249084,129
2012,26,3.111096439,28.31857143,151
2012,27,16.54010504,27.19309524,140
2012,28,3.027092837,27.54690476,132
2012,29,5.466642657,27.42309524,125
2012,30,0.6743817527,28.69952381,110
2012,31,8.326519608,28.15095238,94
2012,32,0.06010204082,28.51690476,127
2012,33,3.439963986,28.3047619,115
2012,34,2.529880952,27.98333333,92
2012,35,6.518166267,27.2025969,102
2012,36,4.577068828,27.47517007,76
2012,37,1.048397359,28.03914966,74
2012,38,2.52652461,28.34489796,72
2012,39,8.201693677,27.87494048,100
2012,40,3.256683673,28.1901925,104
2012,41,5.226564626,27.72711538,123
2012,42,14.27603741,26.84407801,105
2012,43,0.3054931973,28.73329932,84
2012,44,11.48343244,27.12886018,104
2012,45,7.956056423,27.1402381,100
2012,46,14.79168567,27.12088435,88
2012,47,10.70960284,27.25217687,100
2012,48,6.278222289,27.381231,80
2012,49,12.71501301,27.06010204,78
2012,50,17.09165366,26.36010204,105
2012,51,10.45010504,26.54411565,94
2012,52,2.813160264,26.73279762,112
2013,1,5.437827381,27.327,134
2013,2,7.791734694,27.5289881,205
2013,3,16.19671769,26.45297619,219
2013,4,1.000221088,27.17285714,267
2013,5,5.458120839,27.56302484,293
2013,6,21.4515186,26.02591931,322
2013,7,13.0668257,25.73154762,247
2013,8,2.779212685,27.22619048,296
2013,9,12.52077931,27.70066869,249
2013,10,5.462246899,27.83470019,273
2013,11,5.198132999,27.9514539,308
2013,12,3.459451781,28.59988095,307
2013,13,9.503840536,28.43355556,316
2013,14,7.84109944,28.31255952,406
2013,15,3.880270108,28.19473085,492
