type_dengue,date,year,month,number
Dengue,2014-01-06,2014,1,436.0
DHF,2014-01-06,2014,1,1.0
Dengue,2014-01-13,2014,1,479.0
DHF,2014-01-13,2014,1,0.0
Dengue,2014-01-20,2014,1,401.0
DHF,2014-01-20,2014,1,0.0
Dengue,2014-01-27,2014,1,336.0
DHF,2014-01-27,2014,1,0.0
Dengue,2014-02-03,2014,2,234.0
DHF,2014-02-03,2014,2,0.0
Dengue,2014-02-10,2014,2,273.0
DHF,2014-02-10,2014,2,1.0
Dengue,2014-02-17,2014,2,369.0
DHF,2014-02-17,2014,2,0.0
DHF,2014-02-24,2014,2,1.0
Dengue,2014-02-24,2014,2,193.0
Dengue,2014-03-03,2014,3,186.0
DHF,2014-03-03,2014,3,1.0
Dengue,2014-03-10,2014,3,209.0
DHF,2014-03-10,2014,3,1.0
Dengue,2014-03-17,2014,3,224.0
DHF,2014-03-17,2014,3,1.0
Dengue,2014-03-24,2014,3,210.0
DHF,2014-03-24,2014,3,0.0
Dengue,2014-03-31,2014,3,225.0
DHF,2014-03-31,2014,3,0.0
Dengue,2014-04-07,2014,4,240.0
DHF,2014-04-07,2014,4,0.0
Dengue,2014-04-14,2014,4,244.0
DHF,2014-04-14,2014,4,1.0
DHF,2014-04-21,2014,4,0.0
Dengue,2014-04-21,2014,4,235.0
Dengue,2014-04-28,2014,4,282.0
DHF,2014-04-28,2014,4,0.0
Dengue,2014-05-05,2014,5,251.0
DHF,2014-05-05,2014,5,0.0
Dengue,2014-05-12,2014,5,261.0
DHF,2014-05-12,2014,5,0.0
Dengue,2014-05-19,2014,5,291.0
DHF,2014-05-19,2014,5,0.0
Dengue,2014-05-26,2014,5,427.0
DHF,2014-05-26,2014,5,1.0
Dengue,2014-06-02,2014,6,456.0
DHF,2014-06-02,2014,6,0.0
Dengue,2014-06-09,2014,6,458.0
DHF,2014-06-09,2014,6,1.0
DHF,2014-06-16,2014,6,0.0
Dengue,2014-06-16,2014,6,506.0
Dengue,2014-06-23,2014,6,550.0
DHF,2014-06-23,2014,6,1.0
Dengue,2014-06-30,2014,6,671.0
DHF,2014-06-30,2014,6,0.0
Dengue,2014-07-07,2014,7,888.0
DHF,2014-07-07,2014,7,3.0
Dengue,2014-07-14,2014,7,818.0
DHF,2014-07-14,2014,7,1.0
Dengue,2014-07-21,2014,7,744.0
DHF,2014-07-21,2014,7,2.0
Dengue,2014-07-28,2014,7,633.0
DHF,2014-07-28,2014,7,1.0
Dengue,2014-08-04,2014,8,484.0
DHF,2014-08-04,2014,8,0.0
Dengue,2014-08-11,2014,8,545.0
DHF,2014-08-11,2014,8,0.0
DHF,2014-08-18,2014,8,0.0
Dengue,2014-08-18,2014,8,438.0
Dengue,2014-08-25,2014,8,418.0
DHF,2014-08-25,2014,8,0.0
Dengue,2014-09-01,2014,9,367.0
DHF,2014-09-01,2014,9,0.0
Dengue,2014-09-08,2014,9,339.0
DHF,2014-09-08,2014,9,0.0
Dengue,2014-09-15,2014,9,362.0
DHF,2014-09-15,2014,9,0.0
Dengue,2014-09-22,2014,9,396.0
DHF,2014-09-22,2014,9,1.0
Dengue,2014-09-29,2014,9,344.0
DHF,2014-09-29,2014,9,1.0
Dengue,2014-10-06,2014,10,339.0
DHF,2014-10-06,2014,10,0.0
DHF,2014-10-13,2014,10,0.0
Dengue,2014-10-13,2014,10,278.0
Dengue,2014-10-20,2014,10,297.0
DHF,2014-10-20,2014,10,0.0
Dengue,2014-10-27,2014,10,213.0
DHF,2014-10-27,2014,10,0.0
Dengue,2014-11-03,2014,11,186.0
DHF,2014-11-03,2014,11,0.0
Dengue,2014-11-10,2014,11,168.0
DHF,2014-11-10,2014,11,1.0
Dengue,2014-11-17,2014,11,158.0
DHF,2014-11-17,2014,11,0.0
