date,dengue_fever_search
2019-01-06,37
2019-01-13,35
2019-01-20,37
2019-01-27,27
2019-02-03,39
2019-02-10,47
2019-02-17,36
2019-02-24,31
2019-03-03,32
2019-03-10,24
2019-03-17,29
2019-03-24,21
2019-03-31,22
2019-04-07,32
2019-04-14,32
2019-04-21,26
2019-04-28,34
2019-05-05,37
2019-05-12,36
2019-05-19,34
2019-05-26,59
2019-06-02,43
2019-06-09,47
2019-06-16,74
2019-06-23,76
2019-06-30,71
2019-07-07,74
2019-07-14,85
2019-07-21,79
2019-07-28,100
2019-08-04,94
2019-08-11,83
2019-08-18,73
2019-08-25,55
2019-09-01,55
2019-09-08,50
2019-09-15,58
2019-09-22,40
2019-09-29,37
2019-10-06,34
2019-10-13,43
2019-10-20,40
2019-10-27,37
2019-11-03,45
2019-11-10,51
2019-11-17,58
2019-11-24,52
2019-12-01,34
2019-12-08,37
2019-12-15,35
2019-12-22,45
2019-12-29,40
