date,eye_pain_search
2019-01-06,33
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,100
2019-02-24,49
2019-03-03,0
2019-03-10,31
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,37
2019-04-14,55
2019-04-21,0
2019-04-28,97
2019-05-05,0
2019-05-12,32
2019-05-19,73
2019-05-26,0
2019-06-02,42
2019-06-09,49
2019-06-16,32
2019-06-23,62
2019-06-30,0
2019-07-07,49
2019-07-14,0
2019-07-21,40
2019-07-28,0
2019-08-04,21
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,34
2019-09-29,33
2019-10-06,51
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,47
2019-11-10,0
2019-11-17,0
2019-11-24,70
2019-12-01,45
2019-12-08,0
2019-12-15,28
2019-12-22,53
2019-12-29,0
