date,fever_search
2019-01-06,77
2019-01-13,69
2019-01-20,67
2019-01-27,70
2019-02-03,65
2019-02-10,69
2019-02-17,75
2019-02-24,73
2019-03-03,70
2019-03-10,65
2019-03-17,62
2019-03-24,60
2019-03-31,61
2019-04-07,73
2019-04-14,51
2019-04-21,57
2019-04-28,66
2019-05-05,79
2019-05-12,68
2019-05-19,65
2019-05-26,91
2019-06-02,76
2019-06-09,77
2019-06-16,84
2019-06-23,90
2019-06-30,100
2019-07-07,88
2019-07-14,93
2019-07-21,87
2019-07-28,88
2019-08-04,78
2019-08-11,82
2019-08-18,90
2019-08-25,64
2019-09-01,63
2019-09-08,67
2019-09-15,67
2019-09-22,60
2019-09-29,66
2019-10-06,67
2019-10-13,74
2019-10-20,66
2019-10-27,65
2019-11-03,77
2019-11-10,82
2019-11-17,74
2019-11-24,67
2019-12-01,69
2019-12-08,83
2019-12-15,87
2019-12-22,93
2019-12-29,92
