date,insect_repellent_search
2019-01-06,29
2019-01-13,0
2019-01-20,36
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,51
2019-02-24,65
2019-03-03,53
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,30
2019-04-07,49
2019-04-14,76
2019-04-21,25
2019-04-28,0
2019-05-05,100
2019-05-12,68
2019-05-19,41
2019-05-26,31
2019-06-02,68
2019-06-09,0
2019-06-16,89
2019-06-23,77
2019-06-30,51
2019-07-07,35
2019-07-14,46
2019-07-21,0
2019-07-28,43
2019-08-04,0
2019-08-11,27
2019-08-18,42
2019-08-25,39
2019-09-01,0
2019-09-08,32
2019-09-15,27
2019-09-22,0
2019-09-29,33
2019-10-06,47
2019-10-13,88
2019-10-20,58
2019-10-27,52
2019-11-03,0
2019-11-10,84
2019-11-17,42
2019-11-24,0
2019-12-01,68
2019-12-08,0
2019-12-15,46
2019-12-22,45
2019-12-29,48
