date,joint_pain_search
2019-01-06,85
2019-01-13,64
2019-01-20,58
2019-01-27,43
2019-02-03,61
2019-02-10,0
2019-02-17,56
2019-02-24,46
2019-03-03,79
2019-03-10,64
2019-03-17,77
2019-03-24,58
2019-03-31,59
2019-04-07,48
2019-04-14,54
2019-04-21,53
2019-04-28,43
2019-05-05,76
2019-05-12,56
2019-05-19,39
2019-05-26,49
2019-06-02,44
2019-06-09,34
2019-06-16,40
2019-06-23,24
2019-06-30,29
2019-07-07,65
2019-07-14,56
2019-07-21,37
2019-07-28,11
2019-08-04,66
2019-08-11,0
2019-08-18,56
2019-08-25,41
2019-09-01,64
2019-09-08,30
2019-09-15,51
2019-09-22,0
2019-09-29,55
2019-10-06,54
2019-10-13,45
2019-10-20,21
2019-10-27,36
2019-11-03,39
2019-11-10,100
2019-11-17,36
2019-11-24,63
2019-12-01,56
2019-12-08,49
2019-12-15,53
2019-12-22,91
2019-12-29,94
