date,mosquito_search
2019-01-06,52
2019-01-13,66
2019-01-20,58
2019-01-27,61
2019-02-03,55
2019-02-10,65
2019-02-17,76
2019-02-24,61
2019-03-03,79
2019-03-10,64
2019-03-17,52
2019-03-24,55
2019-03-31,62
2019-04-07,74
2019-04-14,72
2019-04-21,91
2019-04-28,77
2019-05-05,90
2019-05-12,93
2019-05-19,75
2019-05-26,76
2019-06-02,82
2019-06-09,94
2019-06-16,85
2019-06-23,93
2019-06-30,77
2019-07-07,78
2019-07-14,84
2019-07-21,86
2019-07-28,86
2019-08-04,100
2019-08-11,73
2019-08-18,82
2019-08-25,86
2019-09-01,62
2019-09-08,95
2019-09-15,83
2019-09-22,92
2019-09-29,74
2019-10-06,75
2019-10-13,92
2019-10-20,67
2019-10-27,85
2019-11-03,87
2019-11-10,78
2019-11-17,60
2019-11-24,68
2019-12-01,68
2019-12-08,66
2019-12-15,80
2019-12-22,65
2019-12-29,71
