,date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
0,2019-01-07,12.43,3.74,5.14,6.0,26.59,30.31,24.36,7.14,26.97
1,2019-01-14,0.0,0.0,0.0,0.0,27.59,31.4,25.14,11.53,35.99
2,2019-01-21,1.29,0.86,0.89,1.0,27.53,31.56,25.29,11.61,36.23
3,2019-01-28,0.0,0.0,0.0,0.0,27.87,32.64,24.91,9.91,31.74
4,2019-02-04,0.57,0.57,0.6,0.6,28.27,32.99,25.39,11.43,32.27
5,2019-02-11,10.97,2.57,4.17,5.29,26.24,29.81,24.37,7.43,29.64
6,2019-02-18,5.46,3.74,4.97,5.29,27.57,31.21,24.73,9.36,31.2
7,2019-02-25,8.46,5.91,6.97,7.31,27.37,31.67,24.64,8.77,30.94
8,2019-03-04,2.0,1.17,1.89,1.97,27.54,31.91,24.91,9.5,32.8
9,2019-03-11,2.43,1.46,1.86,2.37,27.77,32.29,25.31,8.39,29.34
10,2019-03-18,5.8,2.86,4.51,5.49,27.94,32.54,25.17,7.87,30.43
11,2019-03-25,7.66,7.23,7.4,7.66,28.56,32.79,25.1,7.74,31.2
12,2019-04-01,5.51,3.63,3.83,4.43,28.39,33.43,25.07,6.66,31.49
13,2019-04-08,3.46,2.6,2.86,3.09,27.54,31.47,24.9,6.01,29.1
14,2019-04-15,6.77,5.14,6.17,6.77,27.87,31.64,24.84,5.36,29.11
15,2019-04-22,17.0,10.2,13.71,15.29,28.2,32.36,24.34,7.01,36.23
16,2019-04-29,6.74,3.91,5.69,6.51,28.66,32.49,26.07,6.39,28.81
17,2019-05-06,1.46,0.89,1.06,1.4,28.81,32.03,26.03,7.04,28.83
18,2019-05-13,1.89,0.86,1.03,1.49,29.14,32.59,26.34,9.13,33.3
19,2019-05-20,0.2,0.2,0.2,0.2,29.09,33.09,26.39,7.9,32.0
20,2019-05-27,11.29,8.97,10.23,10.86,28.96,33.31,25.26,7.09,32.54
21,2019-06-03,8.49,4.63,7.91,8.4,29.36,33.06,26.71,6.7,29.9
22,2019-06-10,7.2,5.54,6.57,7.03,28.07,31.7,24.7,5.69,30.14
23,2019-06-17,6.46,4.74,5.71,6.29,27.76,31.06,25.17,6.09,26.97
24,2019-06-24,4.11,2.26,2.94,3.43,27.57,30.43,25.54,5.97,30.94
25,2019-07-01,4.0,1.97,2.74,3.91,28.26,31.17,25.76,7.43,33.57
26,2019-07-08,3.71,2.63,3.09,3.26,28.66,31.69,25.74,7.5,33.33
27,2019-07-15,4.54,3.29,4.49,4.51,28.79,31.61,25.93,7.8,30.41
28,2019-07-22,5.31,2.71,3.86,4.46,28.97,31.96,26.37,10.37,32.27
29,2019-07-29,6.0,4.37,4.86,5.4,28.01,31.49,24.99,8.53,36.26
30,2019-08-05,3.63,1.91,2.69,3.14,27.7,30.91,25.3,7.97,30.41
31,2019-08-12,0.0,0.0,0.0,0.0,29.4,32.3,27.37,11.44,33.84
32,2019-08-19,6.2,5.37,6.17,6.2,28.69,31.86,26.01,9.11,36.5
33,2019-08-26,6.4,3.46,3.97,4.29,27.5,30.47,24.97,8.31,34.39
34,2019-09-02,5.49,2.31,2.94,4.17,27.4,30.67,25.16,6.16,29.9
35,2019-09-09,1.37,0.83,0.97,1.26,27.94,31.44,25.84,7.13,30.43
36,2019-09-16,0.06,0.03,0.03,0.06,27.97,31.26,25.76,8.87,35.17
37,2019-09-23,5.54,2.46,3.11,3.6,27.64,30.21,24.93,6.63,33.59
38,2019-09-30,9.97,6.46,8.86,9.51,28.16,31.21,24.93,7.16,32.67
39,2019-10-07,10.0,6.6,8.09,8.51,26.87,30.87,24.31,5.13,27.37
40,2019-10-14,2.51,2.06,2.17,2.37,27.79,31.39,24.79,6.54,31.31
41,2019-10-21,9.29,4.71,6.14,7.23,28.16,31.7,25.23,6.16,27.51
42,2019-10-28,9.91,6.77,8.37,8.86,27.31,31.66,24.57,7.07,27.11
43,2019-11-04,8.77,6.26,7.26,11.74,27.74,31.66,24.36,6.96,31.41
44,2019-11-11,21.31,13.71,16.83,18.0,26.41,30.51,24.06,6.54,33.06
45,2019-11-18,8.74,4.11,5.34,7.03,27.44,32.06,24.51,6.74,29.37
46,2019-11-25,5.94,6.63,7.11,7.43,28.13,31.67,24.27,7.23,37.3
47,2019-12-02,11.66,7.6,9.83,11.14,26.97,31.26,24.34,7.14,32.81
48,2019-12-09,7.63,5.83,6.31,6.4,27.03,31.03,24.81,6.17,29.63
49,2019-12-16,9.29,4.8,5.63,6.94,26.31,29.13,24.33,8.04,26.73
50,2019-12-23,8.2,5.54,7.4,7.54,26.56,30.29,24.14,8.74,30.67
51,2019-12-30,2.29,1.6,1.66,2.29,27.09,30.7,25.07,12.29,36.21
52,2020-01-06,0.0,0.0,0.0,0.0,27.4,31.3,24.6,11.3,42.6
