type_dengue,date,year,month,number,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),week
Dengue,2014-01-06,2014,1,436.0,2014,1,6,31.2,10.0,10.8,11.6,25.3,27.1,23.9,6.1,25.6,2
DHF,2014-01-06,2014,1,1.0,2014,1,6,31.2,10.0,10.8,11.6,25.3,27.1,23.9,6.1,25.6,2
Dengue,2014-01-13,2014,1,479.0,2014,1,13,0.0,0.0,0.0,0.0,26.9,30.3,25.4,14.6,40.0,3
DHF,2014-01-13,2014,1,0.0,2014,1,13,0.0,0.0,0.0,0.0,26.9,30.3,25.4,14.6,40.0,3
Dengue,2014-01-20,2014,1,401.0,2014,1,20,0.0,0.0,0.0,0.0,25.7,29.1,23.6,11.7,38.2,4
DHF,2014-01-20,2014,1,0.0,2014,1,20,0.0,0.0,0.0,0.0,25.7,29.1,23.6,11.7,38.2,4
Dengue,2014-01-27,2014,1,336.0,2014,1,27,0.0,0.0,0.0,0.0,25.9,29.8,23.8,14.5,37.1,5
DHF,2014-01-27,2014,1,0.0,2014,1,27,0.0,0.0,0.0,0.0,25.9,29.8,23.8,14.5,37.1,5
Dengue,2014-02-03,2014,2,234.0,2014,2,3,0.0,0.0,0.0,0.0,26.1,31.2,22.9,11.3,32.0,6
DHF,2014-02-03,2014,2,0.0,2014,2,3,0.0,0.0,0.0,0.0,26.1,31.2,22.9,11.3,32.0,6
Dengue,2014-02-10,2014,2,273.0,2014,2,10,0.0,0.0,0.0,0.0,27.7,33.8,24.8,10.6,27.0,7
DHF,2014-02-10,2014,2,1.0,2014,2,10,0.0,0.0,0.0,0.0,27.7,33.8,24.8,10.6,27.0,7
Dengue,2014-02-17,2014,2,369.0,2014,2,17,0.0,0.0,0.0,0.0,27.8,31.7,25.6,15.5,33.5,8
DHF,2014-02-17,2014,2,0.0,2014,2,17,0.0,0.0,0.0,0.0,27.8,31.7,25.6,15.5,33.5,8
DHF,2014-02-24,2014,2,1.0,2014,2,24,0.0,0.0,0.0,0.0,27.2,31.5,24.6,15.7,40.0,9
Dengue,2014-02-24,2014,2,193.0,2014,2,24,0.0,0.0,0.0,0.0,27.2,31.5,24.6,15.7,40.0,9
Dengue,2014-03-03,2014,3,186.0,2014,3,3,0.0,0.0,0.0,0.0,27.6,32.9,24.7,12.0,36.0,10
DHF,2014-03-03,2014,3,1.0,2014,3,3,0.0,0.0,0.0,0.0,27.6,32.9,24.7,12.0,36.0,10
Dengue,2014-03-10,2014,3,209.0,2014,3,10,0.0,0.0,0.0,0.0,27.8,32.3,24.9,15.7,41.4,11
DHF,2014-03-10,2014,3,1.0,2014,3,10,0.0,0.0,0.0,0.0,27.8,32.3,24.9,15.7,41.4,11
Dengue,2014-03-17,2014,3,224.0,2014,3,17,5.4,3.6,4.2,5.2,26.3,30.7,24.3,8.9,36.0,12
DHF,2014-03-17,2014,3,1.0,2014,3,17,5.4,3.6,4.2,5.2,26.3,30.7,24.3,8.9,36.0,12
Dengue,2014-03-24,2014,3,210.0,2014,3,24,0.0,0.0,0.0,0.0,28.1,33.0,24.7,11.5,32.8,13
DHF,2014-03-24,2014,3,0.0,2014,3,24,0.0,0.0,0.0,0.0,28.1,33.0,24.7,11.5,32.8,13
Dengue,2014-03-31,2014,3,225.0,2014,3,31,0.0,0.0,0.0,0.0,28.8,33.0,26.6,10.5,36.4,14
