date,index,year,month,number,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),week,dengue_search,dengue_fever_search,dengue_symptoms_search,rashes_search,vomiting_search,eye_pain_search,joint_pain_search,fever_search,wolbachia_search,headache_search,nausea_search,fogging_search,insect_repellent_search,mosquito_search
2014-01-06,0,2014,1,436,2014,1,6,31.2,10.0,10.8,11.6,25.3,27.1,23.9,6.1,25.6,2,44,61,18,67,43,30,27,73,0,22,9,0,1,5.0
2014-01-13,2,2014,1,479,2014,1,13,0.0,0.0,0.0,0.0,26.9,30.3,25.4,14.6,40.0,3,38,55,14,73,38,0,26,66,2,25,11,0,3,5.0
2014-01-20,4,2014,1,401,2014,1,20,0.0,0.0,0.0,0.0,25.7,29.1,23.6,11.7,38.2,4,31,46,13,60,52,12,13,80,0,27,8,0,3,4.0
2014-01-27,6,2014,1,336,2014,1,27,0.0,0.0,0.0,0.0,25.9,29.8,23.8,14.5,37.1,5,23,33,8,57,39,31,0,64,0,25,12,0,3,6.0
2014-02-03,8,2014,2,234,2014,2,3,0.0,0.0,0.0,0.0,26.1,31.2,22.9,11.3,32.0,6,28,38,6,56,31,0,7,72,0,22,8,0,3,8.0
2014-02-10,10,2014,2,273,2014,2,10,0.0,0.0,0.0,0.0,27.7,33.8,24.8,10.6,27.0,7,35,50,14,75,56,0,10,58,0,24,15,0,3,13.0
2014-02-17,12,2014,2,369,2014,2,17,0.0,0.0,0.0,0.0,27.8,31.7,25.6,15.5,33.5,8,28,41,11,55,34,7,12,59,0,25,11,39,4,12.0
2014-02-24,15,2014,2,193,2014,2,24,0.0,0.0,0.0,0.0,27.2,31.5,24.6,15.7,40.0,9,34,49,16,40,21,0,23,73,0,28,7,18,6,19.0
2014-03-03,16,2014,3,186,2014,3,3,0.0,0.0,0.0,0.0,27.6,32.9,24.7,12.0,36.0,10,31,54,16,42,30,10,14,56,2,20,10,28,9,20.0
2014-03-10,18,2014,3,209,2014,3,10,0.0,0.0,0.0,0.0,27.8,32.3,24.9,15.7,41.4,11,18,33,7,62,39,0,18,48,0,14,13,0,6,17.0
2014-03-17,20,2014,3,224,2014,3,17,5.4,3.6,4.2,5.2,26.3,30.7,24.3,8.9,36.0,12,21,29,10,29,40,11,12,57,0,17,6,0,3,12.0
2014-03-24,22,2014,3,210,2014,3,24,0.0,0.0,0.0,0.0,28.1,33.0,24.7,11.5,32.8,13,26,38,5,38,40,21,13,48,0,20,7,65,4,8.0
2014-03-31,24,2014,3,225,2014,3,31,0.0,0.0,0.0,0.0,28.8,33.0,26.6,10.5,36.4,14,26,40,8,51,47,0,6,57,0,24,9,0,3,11.0
2014-04-07,26,2014,4,240,2014,4,7,10.0,9.8,10.0,10.0,28.6,34.5,25.0,7.6,43.2,15,21,30,6,46,47,11,25,58,2,24,5,29,3,8.0
2014-04-14,28,2014,4,244,2014,4,14,0.0,0.0,0.0,0.0,28.4,32.6,25.8,7.7,30.2,16,24,37,6,21,33,0,0,50,0,21,10,0,5,9.0
2014-04-21,31,2014,4,235,2014,4,21,5.2,2.0,3.2,5.0,26.6,29.6,24.7,5.3,39.6,17,33,43,11,36,44,8,15,61,0,20,11,0,2,10.0
2014-04-28,32,2014,4,282,2014,4,28,0.2,0.2,0.2,0.2,28.6,32.8,26.3,5.9,25.2,18,30,45,10,48,52,11,0,55,0,23,6,0,1,11.0
2014-05-05,34,2014,5,251,2014,5,5,0.0,0.0,0.0,0.0,29.4,33.1,26.8,9.5,37.8,19,18,25,6,47,32,12,0,69,0,24,15,0,3,8.0
2014-05-12,36,2014,5,261,2014,5,12,0.4,0.4,0.4,0.4,28.2,31.6,26.5,5.9,35.3,20,25,37,11,49,45,0,13,65,0,22,17,0,5,9.0
2014-05-19,38,2014,5,291,2014,5,19,7.2,3.8,5.0,5.2,27.2,30.0,23.2,6.9,30.6,21,22,41,12,44,28,12,16,69,2,29,8,26,3,9.0
2014-05-26,40,2014,5,427,2014,5,26,0.0,0.0,0.0,0.0,28.8,32.4,26.8,6.9,34.2,22,32,48,12,48,44,23,21,72,0,30,6,0,5,9.0
2014-06-02,42,2014,6,456,2014,6,2,0.0,0.0,0.0,0.0,28.7,31.2,26.6,6.0,24.5,23,26,43,10,41,44,11,15,71,2,28,9,0,3,9.0
2014-06-09,44,2014,6,458,2014,6,9,0.0,0.0,0.0,0.0,29.4,32.7,27.7,7.0,36.4,24,32,53,7,60,47,0,18,70,0,21,13,0,3,7.0
2014-06-16,47,2014,6,506,2014,6,16,0.0,0.0,0.0,0.0,30.1,32.8,28.3,8.7,30.2,25,37,59,10,41,45,14,17,79,0,28,11,22,4,8.0
2014-06-23,48,2014,6,550,2014,6,23,0.0,0.0,0.0,0.0,29.7,33.2,27.5,6.1,28.1,26,33,56,11,65,18,20,29,78,0,32,11,0,3,8.0
2014-06-30,50,2014,6,671,2014,6,30,2.4,2.0,2.2,2.4,27.6,31.0,24.6,6.9,35.3,27,49,73,19,50,24,6,14,69,0,27,9,0,2,9.0
2014-07-07,52,2014,7,888,2014,7,7,3.6,3.4,3.4,3.6,28.5,31.5,24.4,6.6,38.2,28,64,98,28,64,24,17,20,89,0,22,7,0,3,6.0
2014-07-14,54,2014,7,818,2014,7,14,0.0,0.0,0.0,0.0,29.8,32.5,27.6,9.2,28.1,29,56,89,18,63,36,0,0,80,0,21,11,0,2,8.0
2014-07-21,56,2014,7,744,2014,7,21,0.0,0.0,0.0,0.0,29.5,31.9,27.4,11.2,35.6,30,59,94,23,40,41,8,18,83,0,20,7,0,3,10.0
2014-07-28,58,2014,7,633,2014,7,28,0.0,0.0,0.0,0.0,29.0,31.9,27.2,8.4,38.9,31,47,71,22,34,31,0,11,82,0,29,5,0,3,8.0
2014-08-04,60,2014,8,484,2014,8,4,1.2,1.2,1.2,1.2,28.5,30.5,25.2,9.4,36.0,32,53,78,19,34,36,11,14,71,0,26,7,0,1,9.0
2014-08-11,62,2014,8,545,2014,8,11,0.0,0.0,0.0,0.0,28.1,30.8,26.6,8.4,35.3,33,48,71,11,45,34,0,23,66,0,24,11,0,2,9.0
2014-08-18,65,2014,8,438,2014,8,18,10.4,9.8,9.8,9.8,28.4,31.0,25.2,11.9,46.8,34,50,75,33,54,45,8,14,79,0,22,12,0,2,7.0
2014-08-25,66,2014,8,418,2014,8,25,7.2,4.4,4.4,4.6,26.6,30.4,24.2,6.3,44.6,35,41,61,16,45,34,8,0,72,0,26,7,0,3,9.0
2014-09-01,68,2014,9,367,2014,9,1,0.0,0.0,0.0,0.0,29.1,32.5,26.7,13.3,34.6,36,35,54,9,64,40,0,15,61,0,21,9,0,1,6.0
2014-09-08,70,2014,9,339,2014,9,8,0.0,0.0,0.0,0.0,28.9,32.0,25.9,7.7,27.0,37,31,41,6,62,43,14,15,58,5,22,11,29,4,8.0
2014-09-15,72,2014,9,362,2014,9,15,0.0,0.0,0.0,0.0,29.2,32.5,27.2,10.2,38.9,38,28,42,5,65,40,0,28,53,2,21,8,0,3,6.0
2014-09-22,74,2014,9,396,2014,9,22,0.0,0.0,0.0,0.0,29.0,33.2,25.4,14.6,38.9,39,23,35,9,44,49,7,0,50,3,21,9,40,5,7.0
2014-09-29,76,2014,9,344,2014,9,29,0.0,0.0,0.0,0.0,28.9,31.3,26.9,11.4,28.4,40,30,45,18,50,90,0,0,52,0,23,10,0,3,5.0
