,date,year,month,week,dengue_search,dengue_fever_search,dengue_symptoms_search,rashes_search,vomiting_search,eye_pain_search,joint_pain_search,fever_search,wolbachia_search,headache_search,nausea_search,fogging_search,insect_repellent_search,mosquito_search,dengue_sum
0,2014-06-01,2014,1,1,44,61,18,67,43,30,27,73,0,22,9,0,1,5,437.0
1,2014-13-01,2014,1,2,38,55,14,73,38,0,26,66,2,25,11,0,3,5,479.0
2,2014-20-01,2014,1,3,31,46,13,60,52,12,13,80,0,27,8,0,3,4,401.0
3,2014-27-01,2014,1,4,23,33,8,57,39,31,0,64,0,25,12,0,3,6,336.0
4,2014-03-02,2014,2,5,28,38,6,56,31,0,7,72,0,22,8,0,3,8,234.0
5,2014-10-02,2014,2,6,35,50,14,75,56,0,10,58,0,24,15,0,3,13,274.0
6,2014-17-02,2014,2,7,28,41,11,55,34,7,12,59,0,25,11,39,4,12,369.0
7,2014-24-02,2014,2,8,34,49,16,40,21,0,23,73,0,28,7,18,6,19,194.0
8,2014-03-03,2014,3,9,31,54,16,42,30,10,14,56,2,20,10,28,9,20,187.0
9,2014-10-03,2014,3,10,18,33,7,62,39,0,18,48,0,14,13,0,6,17,210.0
10,2014-17-03,2014,3,11,21,29,10,29,40,11,12,57,0,17,6,0,3,12,225.0
11,2014-24-03,2014,3,12,26,38,5,38,40,21,13,48,0,20,7,65,4,8,210.0
12,2014-31-03,2014,3,13,26,40,8,51,47,0,6,57,0,24,9,0,3,11,225.0
13,2014-07-04,2014,4,14,21,30,6,46,47,11,25,58,2,24,5,29,3,8,240.0
14,2014-14-04,2014,4,15,24,37,6,21,33,0,0,50,0,21,10,0,5,9,245.0
15,2014-21-04,2014,4,16,33,43,11,36,44,8,15,61,0,20,11,0,2,10,235.0
16,2014-28-04,2014,4,17,30,45,10,48,52,11,0,55,0,23,6,0,1,11,282.0
17,2014-05-05,2014,5,18,18,25,6,47,32,12,0,69,0,24,15,0,3,8,251.0
18,2014-12-05,2014,5,19,25,37,11,49,45,0,13,65,0,22,17,0,5,9,261.0
19,2014-19-05,2014,5,20,22,41,12,44,28,12,16,69,2,29,8,26,3,9,291.0
20,2014-26-05,2014,5,21,32,48,12,48,44,23,21,72,0,30,6,0,5,9,428.0
21,2014-02-06,2014,6,22,26,43,10,41,44,11,15,71,2,28,9,0,3,9,456.0
