Week,Dengue fever: (Singapore),Wolbachia: (Singapore),dengue: (Singapore),rain: (Singapore),fever: (Singapore)
5/1/14,8,0,29,53,49
12/1/14,8,1,26,50,44
19/1/14,9,0,21,37,54
26/1/14,4,0,16,41,43
2/2/14,7,0,19,42,48
9/2/14,7,0,24,46,39
16/2/14,5,0,19,46,40
23/2/14,9,0,23,48,49
2/3/14,8,1,21,57,38
9/3/14,4,0,12,72,32
16/3/14,4,0,14,98,38
23/3/14,6,0,18,40,32
30/3/14,7,0,18,56,39
6/4/14,5,2,14,61,39
13/4/14,4,0,16,59,34
20/4/14,9,0,22,49,41
27/4/14,5,0,20,52,37
4/5/14,7,0,12,55,47
11/5/14,4,0,17,49,44
18/5/14,3,1,15,57,46
25/5/14,9,0,22,52,49
1/6/14,7,2,18,47,48
8/6/14,8,0,22,50,47
15/6/14,7,0,25,43,54
22/6/14,7,0,22,39,53
29/6/14,6,0,33,46,46
6/7/14,15,0,43,56,60
13/7/14,15,0,38,41,54
20/7/14,14,0,40,38,56
27/7/14,15,0,32,56,56
3/8/14,12,0,36,42,48
10/8/14,9,0,32,46,44
17/8/14,15,0,34,43,53
24/8/14,8,0,28,60,48
31/8/14,7,0,24,47,41
7/9/14,6,3,21,48,39
14/9/14,4,1,19,46,36
21/9/14,4,2,15,46,34
28/9/14,4,0,20,48,35
5/10/14,6,0,16,46,37
12/10/14,6,0,14,59,34
19/10/14,4,2,19,58,35
26/10/14,6,0,18,51,29
2/11/14,4,1,10,52,29
9/11/14,3,0,14,73,36
16/11/14,5,1,17,59,38
23/11/14,4,0,13,52,33
30/11/14,7,0,14,56,36
7/12/14,6,0,12,47,41
14/12/14,4,0,11,51,38
21/12/14,2,0,9,62,40
28/12/14,4,2,13,44,41
4/1/15,3,0,11,49,36
11/1/15,8,0,17,37,42
18/1/15,3,0,11,39,39
25/1/15,6,0,14,35,42
1/2/15,4,0,12,44,38
8/2/15,4,0,10,35,43
15/2/15,2,1,10,40,41
22/2/15,3,0,14,29,41
1/3/15,4,0,11,31,44
8/3/15,5,0,15,44,42
15/3/15,4,0,15,48,48
22/3/15,4,1,11,45,39
29/3/15,3,0,10,69,43
5/4/15,4,0,11,45,45
12/4/15,3,0,10,45,41
19/4/15,3,0,12,55,36
26/4/15,6,0,6,56,33
3/5/15,6,2,11,45,41
10/5/15,7,0,15,44,53
17/5/15,6,0,17,46,46
24/5/15,5,1,13,41,52
31/5/15,7,0,12,42,63
7/6/15,5,0,12,39,52
14/6/15,8,0,17,44,54
21/6/15,6,0,20,46,52
28/6/15,5,0,17,46,48
5/7/15,5,0,15,52,45
12/7/15,6,0,18,51,42
19/7/15,7,1,18,52,37
26/7/15,7,0,15,47,43
2/8/15,4,0,12,67,41
9/8/15,6,0,12,48,41
16/8/15,7,0,15,33,44
23/8/15,5,2,14,40,42
30/8/15,4,0,10,37,39
6/9/15,3,0,13,35,36
13/9/15,4,0,15,58,39
20/9/15,7,1,14,38,41
27/9/15,7,0,17,50,45
4/10/15,6,0,15,42,45
11/10/15,4,0,14,30,39
18/10/15,5,0,15,34,38
25/10/15,6,0,14,51,40
1/11/15,4,0,18,44,41
8/11/15,5,0,15,53,40
15/11/15,4,0,15,55,42
22/11/15,3,0,12,55,34
29/11/15,6,0,15,96,42
6/12/15,7,3,17,63,41
13/12/15,7,0,23,45,45
20/12/15,6,0,15,38,44
27/12/15,10,0,25,59,53
3/1/16,8,0,34,32,52
10/1/16,10,0,32,35,51
17/1/16,11,2,29,49,57
24/1/16,13,0,44,48,61
31/1/16,13,0,39,47,65
7/2/16,13,0,41,41,68
14/2/16,14,0,37,53,63
21/2/16,13,1,33,40,55
28/2/16,10,0,29,40,53
6/3/16,10,0,25,51,55
13/3/16,7,3,24,40,45
20/3/16,7,0,18,41,48
27/3/16,9,0,24,34,48
3/4/16,8,0,23,44,43
10/4/16,5,3,23,43,48
17/4/16,3,1,18,67,45
24/4/16,4,0,16,67,41
1/5/16,5,0,16,44,38
8/5/16,2,0,17,47,45
15/5/16,3,0,14,60,40
22/5/16,3,0,18,51,42
29/5/16,3,0,18,49,45
5/6/16,5,0,18,49,48
12/6/16,5,0,15,43,47
19/6/16,3,1,16,41,44
26/6/16,8,0,20,40,44
3/7/16,4,0,15,35,41
10/7/16,4,0,20,46,50
17/7/16,5,1,20,53,51
24/7/16,5,0,21,46,52
31/7/16,5,0,21,44,53
7/8/16,3,0,15,32,43
14/8/16,8,0,18,31,37
21/8/16,4,0,13,42,36
28/8/16,9,2,40,39,53
4/9/16,4,2,28,42,46
11/9/16,7,0,21,48,43
18/9/16,3,1,18,38,48
25/9/16,1,1,12,40,39
2/10/16,3,0,14,51,36
9/10/16,4,2,18,36,45
16/10/16,3,4,12,38,38
23/10/16,5,1,14,61,36
30/10/16,3,2,11,46,37
6/11/16,3,1,7,45,40
13/11/16,2,0,9,54,41
20/11/16,3,0,13,48,37
27/11/16,3,1,9,44,40
4/12/16,1,0,6,45,38
11/12/16,0,0,7,44,30
18/12/16,4,0,5,50,33
25/12/16,5,1,8,57,39
1/1/17,3,0,9,47,51
8/1/17,3,0,10,42,38
15/1/17,4,1,10,100,43
22/1/17,7,0,8,82,35
29/1/17,0,1,9,37,46
5/2/17,5,0,10,48,46
12/2/17,2,0,8,48,47
19/2/17,3,0,8,46,45
26/2/17,2,0,10,53,38
5/3/17,3,0,9,44,45
12/3/17,4,0,9,41,46
19/3/17,2,0,9,50,45
26/3/17,3,0,8,46,44
2/4/17,5,0,11,43,46
9/4/17,2,0,8,50,44
16/4/17,2,1,6,56,44
23/4/17,4,0,11,50,47
30/4/17,4,0,12,47,51
7/5/17,2,0,8,41,48
14/5/17,3,0,10,36,54
21/5/17,3,2,12,62,59
28/5/17,3,1,13,45,58
4/6/17,4,0,10,39,47
11/6/17,3,0,10,39,48
18/6/17,1,0,7,47,45
25/6/17,5,0,9,46,45
2/7/17,3,0,10,50,41
9/7/17,3,0,11,52,51
16/7/17,1,0,10,33,51
23/7/17,2,0,9,34,39
30/7/17,2,0,8,28,35
6/8/17,4,1,9,49,38
13/8/17,2,0,10,57,39
20/8/17,2,0,13,40,40
27/8/17,1,1,4,44,45
3/9/17,3,0,8,49,44
10/9/17,3,0,9,48,44
17/9/17,2,1,8,62,40
24/9/17,5,2,11,52,40
1/10/17,4,0,10,52,43
8/10/17,3,0,9,56,45
15/10/17,6,1,12,41,42
22/10/17,2,0,8,40,36
29/10/17,3,1,10,60,38
5/11/17,5,0,11,57,38
12/11/17,2,0,9,56,48
19/11/17,4,0,9,56,48
26/11/17,3,1,10,48,45
3/12/17,2,0,12,43,42
10/12/17,4,0,12,61,46
17/12/17,3,0,6,43,46
24/12/17,0,0,8,44,45
31/12/17,3,0,7,69,42
7/1/18,4,3,11,96,47
14/1/18,2,0,8,54,53
21/1/18,5,0,12,54,53
28/1/18,1,0,6,55,49
4/2/18,3,1,7,32,48
11/2/18,2,0,7,35,49
18/2/18,1,0,9,38,49
25/2/18,1,3,7,40,46
4/3/18,4,1,8,45,43
11/3/18,3,0,8,40,44
18/3/18,3,0,7,42,44
25/3/18,3,1,8,65,48
1/4/18,5,1,8,51,44
8/4/18,3,1,6,48,39
15/4/18,2,0,5,72,40
22/4/18,0,0,6,71,39
29/4/18,3,1,14,74,40
6/5/18,6,1,25,60,44
13/5/18,3,0,12,67,40
20/5/18,2,4,13,72,44
27/5/18,2,1,12,69,35
3/6/18,2,0,11,43,38
10/6/18,5,0,14,47,41
17/6/18,3,0,9,52,44
24/6/18,2,0,10,56,41
1/7/18,3,0,9,52,43
8/7/18,2,0,9,49,43
15/7/18,3,0,9,44,43
22/7/18,0,2,9,39,44
29/7/18,2,0,10,44,45
5/8/18,3,0,9,41,42
12/8/18,3,0,8,41,43
19/8/18,0,2,8,51,37
26/8/18,4,0,8,38,32
2/9/18,3,1,7,63,35
9/9/18,3,1,7,46,34
16/9/18,0,0,10,60,37
23/9/18,2,0,9,35,37
30/9/18,3,0,7,39,33
7/10/18,2,0,7,64,42
14/10/18,3,0,7,43,34
21/10/18,5,1,7,43,41
28/10/18,2,0,9,57,37
4/11/18,1,0,9,53,44
11/11/18,2,0,9,56,48
18/11/18,1,1,9,56,47
25/11/18,5,1,13,43,45
2/12/18,4,0,15,49,46
9/12/18,3,0,12,50,41
16/12/18,1,0,13,41,51
23/12/18,3,0,12,37,55
30/12/18,4,2,12,45,51
