date,nausea_search
2019-01-06,70
2019-01-13,76
2019-01-20,68
2019-01-27,73
2019-02-03,76
2019-02-10,77
2019-02-17,85
2019-02-24,89
2019-03-03,71
2019-03-10,90
2019-03-17,51
2019-03-24,95
2019-03-31,89
2019-04-07,85
2019-04-14,78
2019-04-21,64
2019-04-28,62
2019-05-05,69
2019-05-12,83
2019-05-19,77
2019-05-26,76
2019-06-02,57
2019-06-09,82
2019-06-16,65
2019-06-23,85
2019-06-30,90
2019-07-07,76
2019-07-14,74
2019-07-21,100
2019-07-28,77
2019-08-04,100
2019-08-11,91
2019-08-18,96
2019-08-25,86
2019-09-01,77
2019-09-08,70
2019-09-15,81
2019-09-22,79
2019-09-29,82
2019-10-06,85
2019-10-13,66
2019-10-20,65
2019-10-27,47
2019-11-03,83
2019-11-10,85
2019-11-17,60
2019-11-24,62
2019-12-01,83
2019-12-08,83
2019-12-15,69
2019-12-22,95
2019-12-29,82
