date,rashes_search
2019-01-06,59
2019-01-13,52
2019-01-20,55
2019-01-27,36
2019-02-03,28
2019-02-10,53
2019-02-17,64
2019-02-24,57
2019-03-03,65
2019-03-10,35
2019-03-17,45
2019-03-24,41
2019-03-31,64
2019-04-07,77
2019-04-14,48
2019-04-21,26
2019-04-28,54
2019-05-05,57
2019-05-12,53
2019-05-19,57
2019-05-26,63
2019-06-02,49
2019-06-09,67
2019-06-16,62
2019-06-23,83
2019-06-30,81
2019-07-07,72
2019-07-14,50
2019-07-21,42
2019-07-28,65
2019-08-04,70
2019-08-11,76
2019-08-18,84
2019-08-25,71
2019-09-01,53
2019-09-08,52
2019-09-15,69
2019-09-22,91
2019-09-29,65
2019-10-06,64
2019-10-13,60
2019-10-20,66
2019-10-27,55
2019-11-03,63
2019-11-10,56
2019-11-17,48
2019-11-24,54
2019-12-01,50
2019-12-08,66
2019-12-15,65
2019-12-22,100
2019-12-29,81
